institution_id,museum,city,country,official_collection_url,crocodile_mummies_confirmed,minimum_confirmed_objects,possible_additional_holdings,inventory_numbers_known,evidence_type,evidence_urls,scholarly_catalogue,online_images,image_license,api_available,iiif_available,confidence,date_checked,notes,x_museum_original_name,x_object_rows,x_object_rows_confirmed,x_stated_counts,x_api_url,x_iiif_url,x_agents
INST-AT-001,Kunsthistorisches Museum Vienna,Vienna,AT,https://www.khm.at/kunstwerke; https://www.khm.at/kunstwerke/,YES,16,"Online DB and Europeana agree on 8 crocodile items (ÄS 264, 265, 266, 266a, 266b, 266c, 290, 292); nothing further suggested. | KHM online search not systematically run by portals_europe (only Europeana + related-object links); INV 266a and 266b are online at KHM but absent from Europeana, so further KHM-only records are possible. Description text on INV 290/292 mentions bundles with dismembered animals and 50 small crocodiles generically (not tied to an inventory number).","ÄS INV 264; INV 265; INV 266; INV 266a; INV 266b; INV 266c (eggs); INV 290; INV 292; INV 264; Ägyptische Sammlung, INV 264; Ägyptische Sammlung, INV 265; Ägyptische Sammlung, INV 266; Ägyptische Sammlung, INV 266a; Ägyptische Sammlung, INV 266b; Ägyptische Sammlung, INV 266c; Ägyptische Sammlung, INV 290; Ägyptische Sammlung, INV 292; INV 266c",OFFICIAL_DB; NATIONAL_PORTAL; IIIF,https://www.khm.at/kunstwerke/krokodil-324028; https://www.khm.at/kunstwerke/grosses-krokodil-316270; https://www.europeana.eu/item/15502/AE_INV_266; https://www.khm.at/kunstwerke/mumie-eines-kleinen-krokodils-324059; https://www.europeana.eu/item/15502/AE_INV_292; https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324030; https://www.europeana.eu/item/15502/AE_INV_264; https://www.khm.at/kunstwerke/krokodil-324029; https://www.europeana.eu/item/15502/AE_INV_265; https://www.europeana.eu/item/15502/AE_INV_266a; https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324031; https://www.europeana.eu/item/15502/AE_INV_266b; https://www.khm.at/kunstwerke/krokodilseier-319134; https://www.europeana.eu/item/15502/AE_INV_266c; https://www.khm.at/kunstwerke/mumifizierter-koerper-eines-kleinen-krokodils-324057; https://www.europeana.eu/item/15502/AE_INV_290,UNKNOWN,YES,"CC BY-NC-SA 4.0 (Europeana dc:rights/edmRights); KHM site: download for private use, publication requires reproduction request; Bildrecht Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung | KHM pages: 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana (via Kulturpool) edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ | CC BY-NC-SA 4.0 (Europeana) | KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0') | KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; not in Europeana",YES,YES,CONFIRMED,2026-09-24,"KHM search (scripts/khm_search.py) for Krokodil, Tiermumie, Krokodilsmumie, Sobek. Most came to the collection before 1875 ('Vor 1875 erworben'; 266a and 266c possibly before 1824). ÄS 266 and 266a/b on display Saal IV. | Found via Europeana sweep; 6 of 8 objects in Europeana. Old objektdb URLs redirect to /kunstwerke/<slug>-<id>. Pages slow (curl timeouts; requests with 120 s timeout works).","Kunsthistorisches Museum Wien, Ägyptisch-Orientalische Sammlung",16,16,UNKNOWN,Europeana API dataset 15502 (e.g. https://api.europeana.eu/record/v2/15502/AE_INV_264.json); KHM site has htmx search only; Europeana API dataset 15502 (Kulturpool); no KHM-native API seen,https://iiif.europeana.eu/presentation/15502/AE_INV_264/manifest (Europeana-generated); Europeana-generated manifests e.g. https://iiif.europeana.eu/presentation/15502/AE_INV_292/manifest,benelux_alpine;portals_europe
INST-AT-002,Natural History Museum of the Salzkammergut,Ebensee,AT,UNKNOWN,YES,1,UNKNOWN,UNKNOWN,PEER_REVIEWED,https://www.naturmuseum.at/wp-content/uploads/2019/09/The_secrets_of_Sobek_-_A_crocodile_mummy_mitogenom.pdf,Hekkala et al. 2020,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CONFIRMED,2026-09-24,One 2.5 m adult crocodile mummy on display; ex Moor Museum Bad Neydharting (dissolved 2000). Official German name to be checked by benelux_alpine/germany agent.,UNKNOWN,1,1,UNKNOWN,UNKNOWN,UNKNOWN,literature
INST-AU-001,"Chau Chak Wing Museum, University of Sydney",Sydney,AU,https://www.sydney.edu.au/museums/collections_search/,YES,4,"None found: EMu SummaryData search 'Mummified animal' = 11 records (4 crocodile, rest cats/ibises); 'crocodile' = 7 hits (4 relevant)",NM52.406.1; NM52.406.2; NM52.406.3; NM84.4,OFFICIAL_DB; OFFICIAL_API; OFFICIAL_WEBPAGE,https://www.sydney.edu.au/museum/our-research/animal-mummies.html; https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.41239; https://www.sydney.edu.au/museums/collections_search/imu/request.php; https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.62330; https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.62331; https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.35470,"Animal Mummy Research Project (Lord, Richards, Salvemini) - focused on ibises; crocodiles not yet imaged",YES,UNKNOWN (image stored in 'chau-chak-wing-museum-restricted-images' folder),YES,NO,CONFIRMED,2026-09-24,"Online images: only 1 crocodile photo found (NM52.406.1 on research page); DB images not retrievable via exposed columns. Nicholson Collection: 14 animal mummies total. Collection search is a JS (IMu) app; records reached via POST JSON {request:Module, table:ecatalogue, method:findTerms/fetch}. See scripts/sydney_imu.py.",Chau Chak Wing Museum (incorporating the Nicholson Collection),4,4,3 mummified baby crocodiles + 1 skull fragment (https://www.sydney.edu.au/museum/our-research/animal-mummies.html ('Three mummified baby crocodiles are also found within the Nicholson Collection'; 'A fragment of a baby crocodile skull (NM52.406.3)')) [canada_oceania],https://www.sydney.edu.au/museums/collections_search/imu/request.php (KE IMu JSON used by public web client; limited columns),UNKNOWN,canada_oceania
INST-BE-001,Art & History Museum (Royal Museums of Art and History),Brussels,BE,https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr,YES,7,Carmentis is described by the museum as 'un travail en cours'; only 3 of 7 crocodile records are on Europeana. Unwrapped/undocumented animal remains may not be online.,E.00453 (pseudo-mummy); E.01229; E.07043a; E.07043b; E.07092a; E.07092b; E.09018; E.00453,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84095; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=76199; https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_75238; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=75238; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84039; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84040; https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_84095; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84096; https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_84096; https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=86354,UNKNOWN,YES,CC BY-NC-SA 4.0 (Europeana edmRights for KMKG records); dc:rights 'Royal Museums of Art and History' | CC BY-NC-SA 4.0 (Europeana edmRights) | UNKNOWN (Carmentis states copyright notice; KMKG Europeana records are CC BY-NC-SA 4.0) | UNKNOWN (Carmentis copyright notice),NO,YES,CONFIRMED,2026-09-24,"Carmentis simple search (session form POST, script scripts/carmentis_search.py) for crocodile/krokodil/momie animale/Tebtunis/Sobek/Fayoum/Kom Ombo/reptile/Crocodylus/oeuf de crocodile: 7 crocodile 'mummy' records, one (E.00453) radiographically shown to be an ancient fake.","Musées royaux d'Art et d'Histoire / Koninklijke Musea voor Kunst en Geschiedenis (Musée Art & Histoire / Kunst & Geschiedenis Museum, Cinquantenaire)",7,7,UNKNOWN,UNKNOWN (Carmentis eMuseumPlus HTML only; Europeana API covers 3 records),"https://iiif.europeana.eu/presentation/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_75238/manifest (Europeana-generated, only for Europeana records)",benelux_alpine
INST-BE-002,Royal Museums of Art and History,Brussels,BE,https://www.carmentis.be,YES,3,UNKNOWN,E.00453 (pseudo-mummy); E.07092a; E.07092b; E.00453,NATIONAL_PORTAL; IIIF,https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_84095; https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_75238; provider: https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=75238; provider: https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84095; https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_84096; provider: https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=84096,UNKNOWN,YES,Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ | Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/; dc:rights Royal Museums of Art and History | Musées Royaux d'Art et d'Histoire | Koninklijke Musea voor Kunst en Geschiedenis,YES,YES,CONFIRMED,2026-09-24,"Carmentis responded 200, not parsed; Carmentis search not run.",Musées royaux d'Art et d'Histoire / Koninklijke Musea voor Kunst en Geschiedenis,3,3,UNKNOWN,Europeana dataset 322,https://iiif.europeana.eu/presentation/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_84095/manifest,portals_europe
INST-BR-001,Museu Nacional (Universidade Federal do Rio de Janeiro),Rio de Janeiro,BR,https://museunacional.ufrj.br/dir/exposicoes/arqueologia/egito-antigo/mumias.html,NO,0,Childe's notebooks mention more wrapped examples originally (Santos & Locks 2005); Kitchen & Beltrão 1990 vol. 2 pp. 230-232 list crocodiles from the 1960 inventory (not seen). Official page mumias.html (search snippet only) says the museum kept a small collection of animal mummies incl. crocodile hatchlings.,Nº 234; Nº 268; Nº 269; Nº 270; Nº 271; Nº 272; Nº 273; Nº 274; Nº 275; Nº 277,PEER_REVIEWED,http://static.recantodasletras.com.br/arquivos/2479979.pdf; https://www.pagepressjournals.org/jbr/article/download/10125/9552/54703,"Kitchen, K. A. & Beltrão, M. C. 1990. Catálogo da Coleção do Egito Antigo existente no Museu Nacional, Rio de Janeiro. Warminster: Aris & Phillips, 2 vols (vol. 2 pp. 211, 230-232 per Santos & Locks); Santos & Locks 2005",YES,UNKNOWN,NO,NO,PROBABLE,2026-09-24,"Crocodile hatchling mummies (Fiengo collection, bought by D. Pedro I 1827) documented first-hand 1998-2005 by Santos & Locks (Locks = Setor de Arqueologia, Museu Nacional). Egyptian collection largely destroyed in fire of 2 Sept 2018 (c. 200 of >700 items rescued by 2019 per Agência Brasil search snippet); survival of the crocodile mummies not verified. Official site museunacional.ufrj.br/www.museunacional.ufrj.br unreachable in this session (curl TLS incomplete-chain error; WebFetch 503). Brancaglion Jr. et al. 2005 (J. Biol. Res. 80: 129ff) confirm 'human and animal mummies' generically. Status PROBABLE because of the 2018 loss; would be CONFIRMED as of 2005.",Museu Nacional / UFRJ,10,0,"at least 10 numbered specimens/boxes (Nº 234, 268-275, 277) described; no total stated (Santos & Locks 2005, Revista Uniandrade 6(1): 29-48) [rest_of_world]",UNKNOWN,UNKNOWN,rest_of_world
INST-CA-001,"Redpath Museum, McGill University",Montréal,CA,https://www.mcgill.ca/redpath/exhibits/exhibits,YES,15,"Up to 8 crocodile mummies per Lawson 2016 (historic counts); only 2 individually identified (2725.01, 2725.02) in ÉTS 2024 report. Current total not verified.",2725.01; 2725.02,OFFICIAL_WEBPAGE; SECONDARY; NATIONAL_PORTAL,https://fontanus.library.mcgill.ca/article/view/281/317; https://www.etsmtl.ca/en/news/devoiler-les-secrets-des-momies-animales-de-legypte-ancienne; https://www.mcgill.ca/redpath/exhibits/exhibits; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8469&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH193&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8474&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH317&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8467&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8468&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8470&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8471&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8472&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8473&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8461&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8463&lang=en; https://app.pch.gc.ca/application/artefacts_hum/detailler_detail.app?d=RMMH8462&lang=en,Lawson 2016 (Fontanus); ÉTS 2024 micro-CT report,YES,UNKNOWN,NO,NO,CONFIRMED,2026-09-24,"Lawson (Redpath Curator of World Cultures) 2016, on McGill domain: 'There are three human mummies and approximately twenty animal mummies (cats, crocodiles, and birds) in the Redpath World Cultures Collection'. Crocodiles came via James Ferrier (acquired on 1859 Nile trip; Maabdeh visited) and the defunct Natural History Society of Montreal. Redpath 'Permanent displays' page mentions 'several mummified animals'. No online collection DB. Redpath is removing human remains from display 2026-27 (3rd-floor page).","Musée Redpath, Université McGill",15,15,"'eight crocodiles' among ~14 animal mummies transferred from Natural History Society of Montreal; Ferrier 1859 donation incl. 'four small mummified crocodiles'; 1926 transfer notebook '8 Mummified Crocodiles Egypt' (Lawson, B. 2016, 'Egyptian Mummies at the Redpath Museum: Unravelling the History of McGill University's Collection', Fontanus (McGill Library), pp. 2-4 and endnote on 1926 notebook) [canada_oceania]",UNKNOWN,UNKNOWN,canada_oceania
INST-CA-002,Royal Ontario Museum,Toronto,CA,https://collections.rom.on.ca/search/crocodile,YES,13,"ROM eMuseum states ~91,273 objects online (subset of collection); further unpublished animal mummies possible. Accession series 910.169.x and 940.7.x show gaps (e.g. 940.7.1, 940.7.5) not found online - not verified as crocodiles.",910.169.2; 910.169.10; 910.169.11; 910.169.12; 910.169.13; 910.169.24; 940.7.2; 940.7.3; 940.7.4; 940.7.6; 940.7.7; 992X2.6; coffin 979X2.53; 979X2.53,OFFICIAL_DB,https://collections.rom.on.ca/objects/496908; https://collections.rom.on.ca/objects/498130; https://collections.rom.on.ca/objects/192080; https://collections.rom.on.ca/objects/202072; https://collections.rom.on.ca/search/crocodile; https://collections.rom.on.ca/objects/184576; https://collections.rom.on.ca/objects/183811; https://collections.rom.on.ca/objects/183810; https://collections.rom.on.ca/objects/190231; https://collections.rom.on.ca/objects/189453; https://collections.rom.on.ca/objects/189454; https://collections.rom.on.ca/objects/192079; https://collections.rom.on.ca/objects/199281; https://collections.rom.on.ca/objects/201889,UNKNOWN,YES,"Images 'copyrighted to the ROM'; reproduction via licence request, case-by-case (https://collections.rom.on.ca/rights) | © ROM; reproduction by licence request only (collections.rom.on.ca/rights: images 'copyrighted to the ROM', permission case-by-case)",NO,NO,CONFIRMED,2026-09-24,"12 crocodile mummies (4 classed A, 3 C, 5 F after viewing preview photos) + 1 crocodile coffin (E). 496908 (910.169.2) and 192080 (910.169.11) on view in Galleries of Africa: Egypt. Site blocks default curl UA (403) but works with browser UA.",UNKNOWN,13,13,UNKNOWN,eMuseum JSON export returns 'Feature disabled',UNKNOWN,canada_oceania
INST-CL-001,Museo Nacional de Historia Natural (Chile),Santiago,CL,https://www.mnhn.gob.cl/,YES,1,UNKNOWN,Nº 2335,PEER_REVIEWED; OFFICIAL_WEBPAGE,https://publicaciones.mnhn.gob.cl/668/articles-64574_archivo_01.pdf; https://boletinmnhn.cl/index.php/ojs/article/view/240; https://www.mnhn.gob.cl/noticias/momias-egipcias-del-mnhn-una-ventana-directa-al-estudio-del-pasado,"González G., C., Valenzuela, G. & Acevedo C., N. 2009. Egiptología en Chile: reflexiones iniciales sobre la colección egipcia del Museo Nacional de Historia Natural, Santiago. Boletín del Museo Nacional de Historia Natural, Chile 58: 105-120. doi:10.54830/bmnhn.v58.2009.240",YES,UNKNOWN,NO,NO,CONFIRMED,2026-09-24,"Egyptian collection in the Área de Antropología; not currently on display (per search snippet). Photos of the crocodile mummy published in the 2009 article (figs 11-12, photos 2007). MNHN news 2016-04-28 reports the juvenile crocodile mummy was X-rayed by OSTeam Ltda. No online object DB found; SURDOC portal search gave no MNHN Egyptian records.","Museo Nacional de Historia Natural, Área de Antropología",1,1,"1 (González, Valenzuela & Acevedo 2009, Boletín MNHN 58: 105-120 (collection comprises ... 'una cría de cocodrilo momificado')) [rest_of_world]",UNKNOWN,UNKNOWN,rest_of_world
INST-CU-001,Museo Provincial Emilio Bacardí Moreau,Santiago de Cuba,CU,UNKNOWN,NO,0,"News article (OnCubaNews 2024, candidate-only) lists 'un sapo, un gato, un ibis, un halcón y un cocodrilo' among mummified animals brought by Bacardí.",UNKNOWN,PEER_REVIEWED,http://riull.ull.es/xmlui/bitstream/handle/915/22541/TdE_11_%282020%29_09.pdf?sequence=1&isAllowed=y; https://riull.ull.es/xmlui/handle/915/22541; https://cubaarqueologica.com/wp-content/uploads/2024/02/ra14n1-04.pdf,"Lipińska, J. 1982. Monuments de l'Égypte ancienne au Palacio de Bellas Artes à La Havane et du Museo Bacardí à Santiago de Cuba (CAA). Mainz: Philipp von Zabern (not seen; classified part of Bacardí Egyptian material in 1970)",NO,UNKNOWN,NO,NO,PROBABLE,2026-09-24,"Emilio Bacardí bought a human mummy and animal mummies in the Luxor market in 1912 (Begerock et al. 2021, Cuba Arqueológica 14(1): 33-46, p. 39). Begerock et al. 2021 (p. 41) state the Egyptian animal mummies are kept in the museum's deposits (not displayed) and that CT scanning is needed to determine their taxonomic identity. No inventory numbers or photo of the crocodile found. PROBABLE: species identification rests on the 1912 acquisition description; the Cuban Mummy Project (IECIM Madrid / Heidelberg HCCH) planned CT of the animal mummies.",Museo Provincial Emilio Bacardí Moreau (Museo Bacardí),1,0,"1 (juvenile crocodile, among animal mummies acquired 1912) (González, Begerock, Leonard & Faltings 2020, Trabajos de Egiptología 11, p. 145: '...una momia humana (fig. 4) y algunas de animales (una cría de cocodrilo, un gato, un halcón y un ibis)') [rest_of_world]",UNKNOWN,UNKNOWN,rest_of_world
