object_id,institution_id,museum,inventory_number,object_title_original,object_title_english,classification,species_if_given,provenance,date_period,length,width,other_dimensions,description,whole_or_partial,wrapping_present,head_visible,dorsal_visible,tail_visible,online_record_url,image_urls,image_count,image_license,api_or_iiif,bibliography,source_of_identification,confidence,notes,x_country,x_city,x_other_numbers,x_classification_basis,x_acquisition,x_evidence_type,x_possible_duplicate_of,x_conflicts,x_date_checked,x_agents
INST-AT-001-O001,INST-AT-001,Kunsthistorisches Museum Vienna,INV 264,Krokodil,Crocodile,C,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr.,ca. 196 cm,UNKNOWN,"L ca. 196 cm, H ca. 16 cm, B ca. 22 cm",Objekttyp: Tiermumie; Material/Technik: UNKNOWN,WHOLE,NO,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/krokodil-324028; https://www.europeana.eu/item/15502/AE_INV_264,https://www.khm.at/pics/324028/AE_INV_264_46118.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_264.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_264/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324028/ redirects to https://www.khm.at/kunstwerke/krokodil-324028.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 264'; Europeana dc:identifier AE_INV_264; KHM object id 324028","image viewed (portals_europe): unwrapped adult crocodile, head, body and tail present; type 'Tiermumie'",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O002,INST-AT-001,Kunsthistorisches Museum Vienna,INV 265,Krokodil,Crocodile,A,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr.,231 cm,UNKNOWN,"L 231 cm, B ca. 23 cm",Objekttyp: Tiermumie; Material/Technik: UNKNOWN,WHOLE,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/krokodil-324029; https://www.europeana.eu/item/15502/AE_INV_265,https://www.khm.at/pics/324029/AE_INV_265_46116.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_265.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_265/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324029/ redirects to https://www.khm.at/kunstwerke/krokodil-324029.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 265'; Europeana dc:identifier AE_INV_265; KHM object id 324029","image viewed (portals_europe): complete crocodile with linen remains over body, head exposed; type 'Tiermumie'",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O003,INST-AT-001,Kunsthistorisches Museum Vienna,INV 266,Großes Krokodil,Great crocodile,A,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr.,260 cm,UNKNOWN,"L 260 cm, B ca. 29 cm, H ca. 23 cm",Objekttyp: Tiermumie; Material/Technik: UNKNOWN,WHOLE,YES,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/grosses-krokodil-316270; https://www.europeana.eu/item/15502/AE_INV_266,https://www.khm.at/pics/316270/AE_INV_266_46113.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_266.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_266/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/316270/ redirects to https://www.khm.at/kunstwerke/grosses-krokodil-316270.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 266'; Europeana dc:identifier AE_INV_266; KHM object id 316270","image viewed (portals_europe): complete crocodile wrapped with criss-cross linen bands, snout exposed; type 'Tiermumie'",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O004,INST-AT-001,Kunsthistorisches Museum Vienna,INV 266a,Kleine Krokodilsmumie,Small crocodile mummy,A,UNKNOWN,Fundort unbekannt,Ca. 724-31 v. Chr.,40 cm,UNKNOWN,"H 6 cm, L 40 cm, B 7 cm, G 169 g","Objekttyp: Tiermumie; Material/Technik: Mumie, Leinen",WHOLE,YES,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324030,https://www.khm.at/pics/324030/AE_INV_266A_1.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; not in Europeana",none found (not in Europeana),UNKNOWN,KHM online collection 'related objects' list on INV 292 page (found while verifying Europeana hit); not in Europeana [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324030/ redirects to https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324030.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 266a'; KHM object id 324030",image viewed (portals_europe): wrapped crocodile-shaped bundle (label '266a'); contents not stated,"Alter Bestand, möglicherweise vor 1824 erworben",OFFICIAL_DB,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O005,INST-AT-001,Kunsthistorisches Museum Vienna,INV 266b,Kleine Krokodilsmumie,Small crocodile mummy,A,UNKNOWN,Fundort unbekannt,Ca. 724-31 v. Chr.,34 cm,UNKNOWN,"L 34 cm, T 8 cm","Objekttyp: Tiermumie; Material/Technik: Mumie, Leinen",WHOLE,YES,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324031,https://www.khm.at/pics/324031/AE_INV_266B_2.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; not in Europeana",none found (not in Europeana),UNKNOWN,KHM online collection 'related objects' list on INV 292 page (found while verifying Europeana hit); not in Europeana [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324031/ redirects to https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324031.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 266b'; KHM object id 324031",image viewed (portals_europe): wrapped crocodile-shaped bundle with modelled head (label '266b'); contents not stated,UNKNOWN,OFFICIAL_DB,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O006,INST-AT-001,Kunsthistorisches Museum Vienna,INV 266c,Krokodilseier,Crocodile eggs,F,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr.,UNKNOWN,UNKNOWN,"B 125 cm, T 137 cm","Objekttyp: Tiermumie; Material/Technik: Leinen, Krokodilseier",UNKNOWN,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/krokodilseier-319134; https://www.europeana.eu/item/15502/AE_INV_266c,https://www.khm.at/pics/319134/AE_INV_266_c_46281.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_266c.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_266c/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/319134/ redirects to https://www.khm.at/kunstwerke/krokodilseier-319134.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 266c'; Europeana dc:identifier AE_INV_266c; KHM object id 319134","EGG: title 'Krokodilseier', material 'Leinen, Krokodilseier'; image viewed: many egg shells on/in linen",Möglicherweise vor 1824 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O007,INST-AT-001,Kunsthistorisches Museum Vienna,INV 290,Mumifizierter Körper eines kleinen Krokodils,Mummified body of a small crocodile,C,UNKNOWN,Fundort unbekannt,4.-1. Jh. v. Chr.,"29,5 cm",UNKNOWN,"L 29,5 cm, B 4,6 cm, H 2,5 cm, G 15 g",Objekttyp: Tiermumie; Material/Technik: Mumie,WHOLE,NO,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/mumifizierter-koerper-eines-kleinen-krokodils-324057; https://www.europeana.eu/item/15502/AE_INV_290,https://www.khm.at/pics/324057/AE_INV_290_03.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_290.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_290/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324057/ redirects to https://www.khm.at/kunstwerke/mumifizierter-koerper-eines-kleinen-krokodils-324057.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 290'; Europeana dc:identifier AE_INV_290; KHM object id 324057","image viewed (portals_europe): unwrapped small crocodile, head-body-tail present; material 'Mumie'",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O008,INST-AT-001,Kunsthistorisches Museum Vienna,INV 292,Mumie eines kleinen Krokodils,Mummy of a small crocodile,A,UNKNOWN,Fundort unbekannt,4.-1. Jh. v. Chr.,ca. 30 cm,UNKNOWN,L ca. 30 cm,"Objekttyp: Tiermumie; Material/Technik: Mumie, Leinen",WHOLE,YES,UNKNOWN,UNKNOWN,UNKNOWN,https://www.khm.at/kunstwerke/mumie-eines-kleinen-krokodils-324059; https://www.europeana.eu/item/15502/AE_INV_292,https://www.khm.at/pics/324059/AE_INV_292_2.jpg,UNKNOWN,"KHM page 'Bildrecht: Kunsthistorisches Museum, Ägyptisch - Orientalische Sammlung'; Europeana edm:rights http://creativecommons.org/licenses/by-nc-sa/4.0/ (dc:rights 'CC BY-NC-SA 4.0')",Europeana Record API https://api.europeana.eu/record/v2/15502/AE_INV_292.json; IIIF (Europeana-generated) https://iiif.europeana.eu/presentation/15502/AE_INV_292/manifest,UNKNOWN,Europeana Search API sweep (Kulturpool dataset 15502) confirmed on KHM online collection [portals_europe],CONFIRMED,Old Europeana link http://www.khm.at/de/objektdb/detail/324059/ redirects to https://www.khm.at/kunstwerke/mumie-eines-kleinen-krokodils-324059.,AT,Vienna,"as printed on KHM page: 'Ägyptische Sammlung, INV 292'; Europeana dc:identifier AE_INV_292; KHM object id 324059","image viewed (portals_europe): linen-wrapped small crocodile-shaped mummy; material 'Mumie, Leinen'",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,portals_europe
INST-AT-001-O009,INST-AT-001,Kunsthistorisches Museum Vienna,"Ägyptische Sammlung, INV 264",Krokodil,Crocodile,C,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr. (Spätzeit oder Griechisch-Römische Zeit),ca. 196 cm,ca. 22 cm,"L ca. 196 cm, H ca. 16 cm, B ca. 22 cm",Objektbezeichnung: Tiermumie; Material/Technik: Tierischer Körper,WHOLE,NO,YES,YES,YES,https://www.khm.at/kunstwerke/krokodil-324028; https://www.europeana.eu/item/15502/AE_INV_264,http://imageapi.khm.at/images/324028/AE_INV_264_46118.jpg,UNKNOWN,CC BY-NC-SA 4.0 (Europeana),https://api.europeana.eu/record/v2/15502/AE_INV_264.json; IIIF https://iiif.europeana.eu/presentation/15502/AE_INV_264/manifest,UNKNOWN,KHM online collection + Europeana [benelux_alpine],CONFIRMED,Side view photo; head/dorsal/tail visibility from that single photo.,AT,Vienna,Europeana AE_INV_264; KHM object id 324028,"Photo examined (AE_INV_264_46118.jpg): complete unwrapped crocodile, skin, scutes, legs and teeth visible, two holes in flank; material 'Tierischer Körper' (no linen listed)",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,benelux_alpine
INST-AT-001-O010,INST-AT-001,Kunsthistorisches Museum Vienna,"Ägyptische Sammlung, INV 265",Krokodil,Crocodile,A,UNKNOWN,Fundort unbekannt,Ca. 500 v. Chr. - 100 n. Chr. (Spätzeit oder Griechisch-Römische Zeit),231 cm,ca. 23 cm,"L 231 cm, B ca. 23 cm","Objektbezeichnung: Tiermumie; Material/Technik: Leinen, tierischer Körper",WHOLE,PARTIAL,YES,YES,YES,https://www.khm.at/kunstwerke/krokodil-324029; https://www.europeana.eu/item/15502/AE_INV_265,http://imageapi.khm.at/images/324029/AE_INV_265_46116.jpg,UNKNOWN,CC BY-NC-SA 4.0 (Europeana),IIIF https://iiif.europeana.eu/presentation/15502/AE_INV_265/manifest,UNKNOWN,KHM online collection + Europeana [benelux_alpine],CONFIRMED,"Wrapping PARTIAL = head uncovered, shroud torn in places.",AT,Vienna,Europeana AE_INV_265; KHM object id 324029,"Photo examined (AE_INV_265_46116.jpg): large crocodile covered in a linen shroud over body and tail, head/jaws with teeth exposed",Vor 1875 erworben,OFFICIAL_DB; NATIONAL_PORTAL; IIIF,UNKNOWN,,2026-09-24,benelux_alpine
