date,country,language,database_or_search_engine,query,institution_checked,result,notes,x_agent
2026-09-24,NL,nl,RMO collectiezoeker (rmo.nl),krokodil,Rijksmuseum van Oudheden,403 Cloudflare challenge (curl and WebFetch); r.jina.ai also challenged,UNKNOWN,benelux_alpine
2026-09-24,NL,nl,"Europeana API (search.json, qf COUNTRY:netherlands)",krokodil mummie,UNKNOWN,"8 hits: RMO AMM16a, AMM16k, AMM16g, AMM16i, CI260, F1998_11_3 crocodile mummies; RMO F1969_2_10 statue; Museon 8258 krokodillenmummie",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf COUNTRY:netherlands),krokodillenmummie,UNKNOWN,2 hits: Museon 8258; RMO F1998_11_3,UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf COUNTRY:netherlands),krokodil,UNKNOWN,"405 hits; first 50 checked: RMO 6 crocodile mummies, rest amulets, prints, tiles, Museon natural-history crocodiles",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),krokodil,Rijksmuseum van Oudheden,"113 hits: 6 crocodile mummies (AMM16a,g,i,k; CI260; F1998_11_3), 2 'mummiehouder' crocodile masks F1987_1_1, F1987_1_2; rest amulets, scarabs, statues, coins",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),dierenmummie,Rijksmuseum van Oudheden,"42 hits; crocodile ones = same 6; others cats, birds, dogs, snakes, fish",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),mummie reptiel,Rijksmuseum van Oudheden,14 hits: same 6 crocodiles + snake mummies (F1956_10_7 checked: snake),UNKNOWN,benelux_alpine
2026-09-24,NL,la,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),Crocodylus,Rijksmuseum van Oudheden,0 hits,UNKNOWN,benelux_alpine
2026-09-24,NL,en,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),Sobek,Rijksmuseum van Oudheden,"7 hits: statues, shabtis, scarab, manuscript; no mummies",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API record endpoint,"record ids AMM16h, AMM16j",Rijksmuseum van Oudheden,Invalid record identifier (not in Europeana),UNKNOWN,benelux_alpine
2026-09-24,NL,en,Europeana API (qf DATA_PROVIDER National Museum of Antiquities),Taconis,Rijksmuseum van Oudheden,"2 hits (snake, fish) - references field not fully indexed",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,WebSearch,"""AMM 16h"" krokodil Rijksmuseum van Oudheden",Rijksmuseum van Oudheden,no AMM 16h hit; RMO topstuk page 'Mummie van een krokodil' and museumkennis page 'Krokodillenmummie vol met kleintjes' (both 403),UNKNOWN,benelux_alpine
2026-09-24,NL,en,WebSearch,Leiden Rijksmuseum van Oudheden crocodile mummy CT scan juvenile crocodiles inside 3 metre AMM 16a,Rijksmuseum van Oudheden,"RMO news page (403), Archaeology Magazine 2016, NatGeo, Apollo: 3 m mummy AMM 16a, 2 juveniles (1996 CT) + 47 hatchlings (Interspectral CT) - news only",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf DATA_PROVIDER Museon-Omniversum),mummie,Museon-Omniversum,"24 hits: 1 crocodile mummy 8258; falcon, cat, fish mummies; bats etc.",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API (qf DATA_PROVIDER Museon-Omniversum),Fayum,Museon-Omniversum,"2 hits: 8258 krokodillenmummie (Krokodilopolis/Arsinoe), shabti",UNKNOWN,benelux_alpine
