museum,city,country,official_collection_url,result_category,result_detail,sources_checked,queries,date_checked,notes,x_agents
Museo de La Plata (Universidad Nacional de La Plata),La Plata,AR,UNKNOWN,OTHER,"Egyptian holdings in the División Antropología described as three human mummies (two with coffins from Dardo Rocha 1888, one probably Viglione collection 1889) plus stelae, ceramics, ushabtis; no animal or crocodile mummy mentioned.","Santos et al. 2012, Aegyptus Antiqua 13: 52-55 (https://ri.conicet.gov.ar/handle/11336/198992, full text); La Nación 19-11-2025 article on the MNBA exhibition; WebSearch",'Museo de La Plata momia de cocodrilo egipcia'; PDF grep cocodril|crocod|animal|ibis|gato,2026-09-24,No online collection DB found. Full Egyptian inventory not checked; small residual chance of unpublished animal mummies.,rest_of_world
Museo Etnográfico Juan B. Ambrosetti (Universidad de Buenos Aires),Buenos Aires,AR,http://revistascientificas.filo.uba.ar/index.php/Arqueologia/article/view/8747,ONLY_OTHER_ANIMAL_MUMMIES,"Egyptian collection comprises 3 wooden coffins, 'dos momias de animales' = one cat-shaped and one falcon-shaped bundle (lote Nº 1896/3552, donation Delfina S. de Viglione 1896; X-rayed: falcon bundle contains bird bones; cat bundle mineralized remains). No crocodile.","Marchegiani, Reynoso, Ammirati & Estevez 2020, Arqueología 26(3): 85-110 (full text PDF https://revistascientificas.filo.uba.ar/index.php/Arqueologia/article/download/8747/7602); momias.equiponaya.com.ar/articulos/ramomias2b.htm",WebSearch 'Museo Etnográfico Ambrosetti colección egipcia momia animal cocodrilo'; PDF grep cocodril|crocod|animal|ibis|halc|gato,2026-09-24,"Fuscaldo 1978, 'Estatuillas y animales momificados', Rev. Inst. Hist. Antigua Oriental 4: 87-95 publishes the animal mummies.",rest_of_world
Museo Nacional de Bellas Artes (Argentina),Buenos Aires,AR,https://www.bellasartes.gob.ar/exhibiciones/egipto/,DB_BLOCKED_OR_UNAVAILABLE,Exhibition 'Ciencia y fantasía. Egiptología y egiptofilia en la Argentina' (18 Nov 2025-1 Mar 2026) with >180 pieces from Argentine public/private collections; no mention of crocodile or animal mummies found in accessible reports. MNBA's own Egyptian holding = funerary vessel gifted by Nasser.,https://www.bellasartes.gob.ar/exhibiciones/egipto/ (403 WebFetch and curl); La Nación 19-11-2025; WebSearch,'Ciencia y fantasía Egiptología egiptofilia Argentina Bellas Artes momia cocodrilo OR momias de animales',2026-09-24,Exhibition checklist not accessible (403).,rest_of_world
Grand Egyptian Museum (GEM),Giza,EG,https://grandegyptianmuseum.org/,NO_CROCODILE_IN_ONLINE_DB,0 hits on grandegyptianmuseum.org; gem.eg blocked (403); no online collection DB found.,https://grandegyptianmuseum.org/wp-json/wp/v2/search; https://gem.eg/ (403); https://visit-gem.com/ (redirect tickets.gem.eg),crocodile; Sobek; animal mummies,2026-09-24,WebSearch budget exhausted before a web search on GEM crocodile displays could be run.,egypt
National Museum of Egyptian Civilization (NMEC),Cairo (Fustat),EG,https://nmec.gov.eg/,NO_CROCODILE_IN_ONLINE_DB,No crocodile mention on NMEC site or MoTA pages; Paleobiobank page mentions animal remains generically. No online collection DB.,https://nmec.gov.eg/wp-json/wp/v2/search; https://nmec.gov.eg/laboratories/paleobiobank/; https://egymonuments.gov.eg/en/museums/national-museum-of-egyptian-civilization-nmec; https://egymonuments.gov.eg/ar/museums/national-museum-of-egyptian-civilization-nmec,crocodile; Sobek; animal mummies; mummified; تمساح,2026-09-24,MoTA search API listed NMEC under 'animal mummies' query but page text has no crocodile. EMC basement page says NMEC selected objects from the EMC basement (not specified).,egypt
"Grant Museum of Zoology, UCL",London,GB,https://collections.ucl.ac.uk/,ONLY_NON_MUMMY_CROCODILE_ITEMS,"53 crocodilian specimens (skeletons, fluid, skins, fossils, taxidermy, leather goods). Only 'mummified' crocodile is LDUCZ-X446 'Skull of the Australian saltwater crocodile which is covered with mummified skin' (Crocodylus porosus) - not Egyptian. No Egyptian crocodile mummy found.",UCL Collections Online (zoology database) web search + Axiell WebAPI https://collections.ucl.ac.uk/AxiellWebApi/wwwopac.ashx?database=zoology,crocodile (53 hits); mummy (0); mummified (2); Egypt (1); API description=crocodil* (6),2026-09-24,Many Crocodylidae skeletons lack provenance in brief records; an ancient Egyptian specimen catalogued only as 'skeleton' cannot be excluded.,uk_south
"Grant Museum of Zoology, University College London",London,GB,https://collections.ucl.ac.uk/,NO_CROCODILE_IN_ONLINE_DB,Only an Australian saltwater crocodile skull with mummified skin (natural) and a human specimen; no Egyptian crocodile mummy.,UCL Axiell wwwopac API database=zoology,"description=mumm*; description=Egypt*; (UCL simple search 'crocodile' = 53 zoology hits, not all screened)",2026-09-24,53 'crocodile' hits in zoology db not individually screened; searched mummy/Egypt terms.,toponyms
Ancient Orient Museum,Tokyo,JP,https://aom-tokyo.com/,NO_ONLINE_DB,No online object database (only Palmyra DB). Website mentions only a Carajá clay crocodile figure and a 2022 panel/CT exhibition on Akoris human mummies (no objects shown). No crocodile mummy found.,https://aom-tokyo.com/; https://aom-tokyo.com/exhibition/221210_akorismummy.html; WebSearch site:aom-tokyo.com,site:aom-tokyo.com ワニ; site:aom-tokyo.com ミイラ 動物; 古代オリエント博物館 ワニ ミイラ,2026-09-24,Egyptian holdings exist (permanent display); print catalogues/bulletin (古代オリエント博物館紀要) not checked.,east_asia
Kyoto University Museum,Kyoto,JP,https://www.museum.kyoto-u.ac.jp/,OTHER,"Egyptian collection (EEF/BSAE gifts 1909-1931) includes bird mummies (鳥のミイラ, 2011 exhibition text) and human mummies (Sakaue 2022); no crocodile mummy found; photo-archive metadata are only file names.",https://www.museum.kyoto-u.ac.jp/special/content0024/; https://www.rra.museum.kyoto-u.ac.jp/archives/3706/; keep.rra.museum.kyoto-u.ac.jp ArchivesSpace photo archive (947 records),京都大学総合博物館 エジプト ワニ ミイラ; archive keyword crocodile/mummy/animal/Fayum/Hawara/Tebtunis/Gebelein/Sobek/bird,2026-09-24,"Full catalogue 京都大学総合博物館考古学資料目録：エジプト出土資料 (2016, 161 pp.) not accessible online — needed to exclude crocodile items.",east_asia
National Museum of Nature and Science,Tokyo,JP,https://db.kahaku.go.jp/webmuseum/,NO_CROCODILE_IN_ONLINE_DB,"Herpetology specimens of Crocodylus niloticus are modern (South Africa series NSMT 20759-20921) or a skeleton of unknown origin (NSMT-H 7208, ex Tokyo Educational Museum); no mummy. 2019 mummy exhibition and 2025-26 'ワニ' exhibition pages mention no crocodile mummy.","https://www.kahaku.go.jp/event/nid00001559.html; https://www.kahaku.go.jp/exhibitions/ueno/special/2019/miira/; GBIF publishingCountry=JP Crocodylia (406 records, NSMT 305); https://db.kahaku.go.jp/webmuseum/detail?cls=col_a1_04&pkey=NSMT-H%2C7208%2C",site:kahaku.go.jp ワニ ミイラ エジプト; GBIF taxonKey=11493978 publishingCountry=JP,2026-09-24,Anthropology dept. mummy inventory (Sakaue 2022) covers human mummies only.,east_asia
