Reference|Ancien_depot|Appellation|Ancienne_appartenance|Ancienne_attribution|Auteur|Bibliographie|Commentaires|Presence_image|Date_d_acquisition|Date_de_depot|Decouverte_collecte|Denomination|Lieu_de_depot|Description|Mesures|Date_de_mise_a_jour|Date_creation|Domaine|Departement|Date_sujet_represente|Ecole_pays|Epoque|Exposition|Genese|Geographie_historique|Historique|Inscription|Numero_inventaire|Appellation_Musee_de_France|Lien_base_Arcade|Lieu_de_creation_utilisation|Localisation|Lien_Video|MANQUANT|MANQUANT_COM|Millesime_de_creation|Millesime_d_utilisation|Code_Museofile|Nom_officiel_musee|Genre|Onomastique|Precisions_sur_l_auteur|Precisions_decouverte_collecte|Periode_de_l_original_copie|Periode_de_creation|Periode_d_utilisation|Precisions_inscriptions|Precisions_lieux_creations|Precisions_sujets_representes|Precisions_utilisation|References_Memoires|References_Merimee|Reference_MAJ|References_Palissy|Region|Sujet_Represente|Lien_INHA|Source_de_la_representation|Statut_juridique|Materiaux_techniques|Titre|Utilisation|Ville|Lien_site_associe|coordonnees|Artiste_sous_droits|Date_entree_dans_le_domaine_public
5002E000727||chromo|Berbez Claude||Bognard (éditeur)|||non|1995|||carte réclame|||H. 11.3, l. 8.3|2026-02-23|2000-07-26|estampe;ethnologie|Bouches-du-Rhône||||||||lieu d'édition inscrit|995.1.90.12 A ; BOG1.30.12|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Paris (lieu d'édition)|Marseille ; musée des Civilisations de l'Europe et de la Méditerranée||||1876 entre,1890 et||M5002|musée des civilisations de l'Europe et de la Méditerranée||||||4e quart 19e siècle||BOGNARD, PARIS (m. g.)||||||||Provence-Alpes-Côte d'Azur|figure (enfant, Noir, cavalier, harnachement, tête : crocodile, Ohio, Etats-Unis)|||propriété de l'Etat;achat;musée national des Arts et Traditions Populaires|chromolithographie;carton|SUR LES BORDS DE L'OHIO (titre inscrit)||Marseille||43.29690491040561, 5.361071769324869||
00000067279|||Lemailler||REINER||plume et encre noire sur esquisse au crayon ; noir ; à l'emplacement du relief du socle de la pyramide, un second projet est proposé sur une feuille collée par son bord supérieur ; feuille en rajout déchirée à la limite de l'encollage ; 21 janvier 1928|oui|1928||||||50 H ; 41.1 L ; 50 H1 ; 41.1 L1|2023-05-17||dessin|Bas-Rhin||France;Alsace|||projet d'architecture;étude;œuvre en rapport||MONUMENT ELEVE EN L'AN XIII (1805) AU POLYGONE A STRASBOURG ; POUR LE MONUMENT AU GENERAL KLEBER ELEVE AU POLYGONE A STRASBOURG EN L'AN XIII (1805)|marque de musée,inscription concernant la représentation (d'origine, face)|77.985.0.382 ; XXVIII 16|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Strasbourg ; cabinet des estampes et des dessins||||1805||M0013|cabinet des estampes et des dessins||||||1er quart 19e siècle||LONGUE INSCRIPTION INDIQUANT L'AUTEUR ET LA DATE DU PROJET (SUR PAPIER COLLE SUR LE MEME MONTAGE) ; CACHET DU CABINET DES ESTAMPES ET DES DESSINS DE STRASBOURG||MONUMENT AU GENERAL KLEBER||||||Grand Est|dessin scientifique (élévation, Strasbourg, architecture commémorative votive funéraire, socle, pilastre, pyramide, sculpture),sculpture (trophée de guerre, canon, tambour, armure, sabre, étendard),sculpture (pyramide, palmier, crocodile, général),sculpture (pyramide, général, messager)|||propriété de la commune;achat;Strasbourg;cabinet des estampes et des dessins|plume;encre noire;crayon noir;papier (blanc);matériaux colles l'un sur l'autre|PROJET POUR LE MONUMENT AU GENERAL KLEBER A STRASBOURG||Strasbourg||48.5812366410149, 7.750544327135451||
5002E002543||imagerie|Dubois Alain||Castiaux Jean-Baptiste (éditeur, libraire);Blocquel Simon François (imprimeur)|||non|1965|||planche (2x4)|||H. 30.6, l. 36.6|2026-02-23|2000-10-27|estampe;ethnologie|Bouches-du-Rhône||||||||légende|65.75.643 C|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Hauts-de-France,Lille (lieu d'édition)|Marseille ; musée des Civilisations de l'Europe et de la Méditerranée||||1809 entre,1837 et||M5002|musée des civilisations de l'Europe et de la Méditerranée||||||1ère moitié 19e siècle||||||||||Provence-Alpes-Côte d'Azur|représentation animalière (cervidé, singe),représentation animalière (crocodilien, crapaud, grenouille),représentation animalière (marmotte, tortue, batracien, lézard),représentation animalière (singe),représentation animalière (serpent venimeux, serpent),représentation animalière (lézard, carpe, groupe : poisson),représentation animalière (requin, espadon, poisson),représentation animalière (vipère, anguille, couleuvre, castor)|||propriété de l'Etat;achat;musée national des Arts et Traditions Populaires|bois de fil (colorié au pochoir);papier vergé|Planche d'animaux (titre factice)||Marseille||43.29690491040561, 5.361071769324869||
00000070651|||Rosset Mme||NORBLIN de LA GOURDAINE Sébastien Louis Guillaume||mine de plomb|oui|1974|||album (factice);élément d'ensemble|||9.6 H ; 16.4 L|2025-10-22||dessin|Ille-et-Vilaine||France|||||No inv autres éléments : 74.73.1 à 74.73.836|signé|INV 74.73.633|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Rennes ; musée des beaux-arts||||||M0211|musée des beaux-arts|||Varsovie, 1796 ; Paris, 1884|||1ère moitié 19e siècle;2e moitié 19e siècle||NORBLIN (S.B.D. AU CRAYON)||||||||Bretagne|scène (jeu, ?, putti, crocodilien)|||propriété de la commune;achat;Rennes;musée des Beaux-Arts|mine de plomb;papier (blanc)|PUTTI JOUANT||Rennes||48.109837, -1.674981||
5002E004456||chromo|Berbez Claude||Courbe-Rouzet (éditeur)|||non|1995|||carte réclame|||H. 10.5, l. 6.4|2026-02-23|2001-01-22|estampe;ethnologie|Bouches-du-Rhône||||||||lieu d'impression inscrit,nom d'imprimeur inscrit, inscription concernant le commanditaire,marque publicitaire|995.1.192.5 A ; CR1.1.13.5|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Paris (lieu d'impression, lieu d'édition)|Marseille ; musée des Civilisations de l'Europe et de la Méditerranée||||1881 entre,1889 et||M5002|musée des civilisations de l'Europe et de la Méditerranée||||||4e quart 19e siècle||Courbe-Rouzet, imp-édit, Dôle et Paris, 23, Rue d'Hauteville (revers, b. m.) ; 315 ; GUERIN-BOUTRON, 29 Boulevard Poissonnière||||||||Provence-Alpes-Côte d'Azur|figure (garçon, soldat : marine, crocodile)|||propriété de l'Etat;achat;musée national des Arts et Traditions Populaires|chromolithographie, emploi d'or, carton|DANS LA MARINE - EN RECONNAISSANCE (titre inscrit)|publicité (chocolat : Guérin-Boutron)|Marseille||43.29690491040561, 5.361071769324869||
00000074942|||Hébert Ernest, coll. de l'artiste ; Hébert Mme Ernest ; Patris-d'Uckermann René ; Hébert (héritier)||Hébert Ernest (1817-1908)||fusain ; inséré dans un seul montage ; déchiré sur le bord droit|non|1977|||élément d'ensemble|||32.2 H ; 23.6 L|2023-02-15||dessin|Paris||France;Antiquité gréco-romaine (d'après)|||copie;oeuvre en rapport||copie d'après l'antique ; numéros d'inventaire des autres éléments : 1029 ; 1030 ; 1032|inscription (face)|1031|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|HEBERT ERNEST|Italie (lieu d'exécution)|Paris ; musée national Ernest Hébert||||1908 avant||M5007|musée Hébert|masculin||Hébert : Grenoble, 1817 ; La Tronche, 1908|||2e moitié 19e siècle;1er quart 20e siècle||INSCRIPTIONS EN STENO (B.G., AU CRAYON) ; CART. 21 (B.D., AU CRAYON, DE LA MAIN DE MME HEBERT)||||||||Ile-de-France|figures mythologiques (Amphitrite, assis : triton myth, Cléopâtre VII, assis, serpent, personnage, crocodile)||Plutarque : Vie d'Antoine|propriété de l'Etat;donation;Musée National Ernest Hébert|fusain;papier (blanc)|AMPHITRITE ET CLEOPATRE||Paris||48.847429, 2.322709||
5002C003194|||||A D I A (photochromie)|||non||||carte postale||||2026-02-23|2001-11-21|photographie;spectacle - fête;ethnologie|Bouches-du-Rhône|||||||||003194|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Alpes-Maritimes,Nice (lieu d'exécution)|Marseille ; musée des Civilisations de l'Europe et de la Méditerranée||||1903 entre,1920 et||M5002|musée des civilisations de l'Europe et de la Méditerranée||||||1er quart 20e siècle||||||||||Provence-Alpes-Côte d'Azur|Nice,scène (Carnaval, voiture à attelage, cheval, caparaçon, voilier, drapeau, armoiries, mer, crocodile, mannequin : Gargantua, canne : pêche, tonneau, homme, debout, déguisement, mannequin : homme, Noir, debout, foule, barrière, casino, bâtiment, arcade)|||propriété de l'Etat|procédé photomécanique;colorisé|CARNAVAL DE NICE - LA CROISIERE DE GARGANTUA (FARRANT A., CONTR)|correspondance|Marseille||43.29690491040561, 5.361071769324869||
M0289000422|||Richard Mr (?, beau-frère de René et Louis Gosse) ; Gosse Louis||Banda (population)|||oui|1910 (?)||Gosse Louis|couteau de jet||Couteau de jet dont la lame est formée de trois branches et la poignée est recouverte d'une peau de reptile (crocodile ?) à larges écailles cousue. La lame est décorée de motifs géométriques incisés|L. 415 ; l. 210|2026-02-23|2002-02-22|Afrique subsaharienne;ethnologie|Loiret|||||||||001.399 ; pas d'ancien numéro. Correspond aux A.N : 1695 jusqu'à 1699|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Oubanghi (lieu d'exécution),Oubanghi (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|ornement à forme géométrique|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|fer, peau de reptile||arme de jet|Pithiviers||48.172521, 2.255004||
M0289000305|||Boussenard Louis|||||oui|1910 (?)||Boussenard Louis|statuette||Statuette en bois sombre représentant un crocodile schématisé comportant des motifs gravés sur toute la surface imitant des écailles. Les yeux sont formés par des petits clous en fer. Sur la face inférieure, 2 yeux sont sommairement gravés au niveau de la tête ainsi qu'un sexe féminin très schématisé vers la queue|L. 33 ; l. 40|2026-02-23|2002-02-19|Amérique du sud;sculpture;ethnologie|Loiret|||||||||001.285 ; A.N.=1838.15|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Guyane française (lieu d'exécution, lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|représentation animalière (crocodile)|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|bois (taillé, gravé), fer|||Pithiviers||48.172521, 2.255004||
M0289000420|||Richard Mr (?, beau-frère de René et Louis Gosse) ; Gosse Louis||Banda (population)|||oui|1910 (?)||Gosse Louis|couteau de jet||Couteau de jet dont la lame est formée de trois branches et la poignée est recouverte d'une peau de reptile (crocodile ?) à larges écailles cousue. La lame est décorée de motifs géométriques incisés|L. 395 ; l. 180|2026-02-23|2002-02-22|Afrique subsaharienne;ethnologie|Loiret|||||||||001.397 ; pas d'ancien numéro. Correspond aux A.N : 1695 jusqu'à 1699|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Oubanghi (lieu d'exécution),Oubanghi (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|ornement à forme géométrique|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|fer, peau de reptile||arme de jet|Pithiviers||48.172521, 2.255004||
