cl010015080	404		
cl010015081	200	AF 6963	serviteur funéraire
cl010015082	200	N 5168 1	serviteur funéraire
cl010015083	404		
cl010015084	404		
cl010015085	200	E 239; N 3369 B; Clot bey C 22 n°90	cercueil de scarabée ; cercueil
cl010015086	200	N 2906 E; Drovetti n°83	élément momifié
cl010015087	404		
cl010015088	404		
cl010015089	200	N 2898 K; Drovetti n°81; 1233	cercueil de poisson
cl010015090	200	N 2898 H; Salt n°3023	cercueil de poisson
cl010015091	200	E 87; N 3790; Clot bey C 5 n°3	cercueil de chat
cl010015092	200	N 2898 I; Salt n°3022	cercueil de poisson
cl010015093	200	N 2909; Drovetti n°60	sarcophage d'animal ; élément momifié
cl010015094	200	AF 2053	*CROC* momie de crocodile
cl010015095	200	AF 146	alabastron
cl010015096	200	E 5506	jarre
cl010015097	200	E 5332 D; SH 56	serviteur funéraire momiforme
cl010015098	200	N 2707 11; 1125	serviteur funéraire contremaître
cl010015099	200	E 2811; N 2881 A; Clot bey C 34 n°14	momie de chat ; momie d'animal en gaine à tête dégagée
cl010015100	200	N 2881 B	momie de chat ; momie d'animal en gaine à tête dégagée
cl010015101	200	N 3932; E 86; Clot bey C 5 n°2; 1312	cercueil de chat ; momie de chat
cl010015102	200	N 2886; CC 488; CC 490	momie de bélier
cl010015103	200	N 2708 6 ?	serviteur funéraire momiforme
cl010015104	200	E 5333	serviteur funéraire momiforme
cl010015105	200	E 5559	serviteur funéraire momiforme
cl010015106	200	E 5557	serviteur funéraire momiforme
cl010015107	200	E 3018	serviteur funéraire momiforme
cl010015108	200	N 2684 43	serviteur funéraire
cl010015109	404		
cl010015110	200	AF 9914	statue
cl010015111	200	E 6015	figurine
cl010015112	404		
cl010015113	404		
cl010015114	200	N 4853	*CROC* figurine
cl010015115	200	AF 13199	figurine
cl010015116	200	N 2678 B	momie de chat ; momie d'animal en gaine à tête dégagée
cl010015117	200	AF 2054	momie de poisson  ; poisson
cl010015118	200	E 623; N 3443 ?; Clot bey C 22 n°91	cercueil de scarabée
cl010015119	200	E 237; N 3358; Clot bey C 22 n° 88	cercueil de scarabée ; couvercle de cercueil
cl010015120	200	E 5832	*CROC* momie de crocodile
cl010015121	200	E 624; N 3369 A; Clot bey C 22 n° 92	cercueil de scarabée
cl010015122	200	E 238; N 3358; Clot bey C 22 n°89	cercueil de scarabée ; couvercle de cercueil
cl010015123	200	E 167; N 2910; Clot bey C 22 n°9	cercueil de serpent
cl010015124	200	N 2908 B; Salt n°3031	cercueil de serpent ; élément momifié
cl010015125	200	N 5234 44; IM 3408; S 1727	serviteur funéraire
cl010015126	200	N 5233 5; IM 3636; S 1195	serviteur funéraire
cl010015127	200	N 5234 1; IM 3400; S 1716	serviteur funéraire
cl010015128	200	N 5234 49; IM 3398; S 1732	serviteur funéraire
cl010015129	200	N 5233 36; IM 5997	serviteur funéraire momiforme
cl010015130	200	N 5233 39; IM 6007; S 1587	serviteur funéraire momiforme
cl010015131	200	N 5233 34; IM 6024 ?	serviteur funéraire
cl010015132	200	N 5233 33; IM 6005 ?	serviteur funéraire
cl010015133	200	N 5233 37	serviteur funéraire
cl010015134	200	N 5233 35; IM 6027; S 1585	serviteur funéraire momiforme
cl010015135	200	N 5233 38	serviteur funéraire
cl010015136	404		
cl010015137	200	N 5234 43; IM 3401; S 1726	serviteur funéraire
cl010015138	200	N 5234 55; IM 3414	serviteur funéraire
cl010015139	200	N 5234 40; IM 3406; S 1723	serviteur funéraire
cl010015140	200	N 5234 45; S 1728	serviteur funéraire
cl010015141	200	N 5234 35; IM 3412; S 1718	serviteur funéraire
cl010015142	200	N 5234 48; IM 3420; S 1731	serviteur funéraire
cl010015143	200	N 5234 42; IM 3418; S 1725	serviteur funéraire
cl010015144	200	N 5234 37; IM 3410; S 1720	serviteur funéraire
cl010015145	200	N 5234 56; IM 3421 ?	serviteur funéraire
cl010015146	200	N 5234 34; IM 3396; S 1717	serviteur funéraire
cl010015147	200	N 5234 50; IM 3415; S 1733	serviteur funéraire
cl010015148	200	N 5234 41; IM 3407; S 1724	serviteur funéraire
cl010015149	200	N 5233 40; IM 3161; S 1856	serviteur funéraire momiforme
cl010015150	200	N 5233 28; IM 3655; S 1860	serviteur funéraire momiforme
cl010015151	200	N 771 21; IM 3676; S 1270	serviteur funéraire
cl010015152	200	N 2670 38 ?	serviteur funéraire momiforme
cl010015153	200	N 2670 9; Drovetti n°175	serviteur funéraire momiforme
cl010015154	200	N 2670 10; Champollion Q. 235	serviteur funéraire momiforme
cl010015155	404		
cl010015156	200	AF 13567; IM 3154; S 1863	serviteur funéraire momiforme
cl010015157	200	IM 3168; S 1807	serviteur funéraire momiforme
cl010015158	200	AF 11938; BN 792 Bis	serviteur funéraire momiforme
cl010015159	200	E 3071 D; Anastasi n°216 d	serviteur funéraire momiforme
cl010015160	404		
