ROGZIU56S2X4F23FHFRYKRRGLXJPYNMA | [Krokodiljagd in Ägypten; Crocodile hunt in Egypt] | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
YZOOMG4GPMHIKTSKWP235WAR374O7AFH | Fußraspel in Gestalt eines Krokodils | digiCULT-Verbund eG; Nordfriesland Museum. Nissenhaus | Massagebürste | Ägypten
4R5F2YR4QVSOAE6H2MTYMJWVUBVMUOUB | Krokodil | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
RMSJOIYSPTR26EF6C7AYIZVJZRQ7FSYE | Krokodil | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
JIITCMECN2S5PXDWD4C7ZJX6EEZ4SBR6 | Spielzeug: Igel aus Persien und Krokodil aus Ägypten, um 1100 v. Chr. | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | 
BUISXGHOAG372XNRMZNRO5ITA57AZGDT | Krokodil mit Falkenkopf | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
2IOPEWM6ZGNFL4WPAL2LCXO63KK5XHQA | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
G3XLVUCOLZJBUIIP67V2M3GYAW6UQ6OS | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
2HJY77U5T7SYCSOSZCSH6W6I5HLDSKDX | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
UG2LPAJWDWVRRJSRIGAILTV3QTC4P5FZ | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
WVT624SMGH3QDSLR5TCPEY6KVHHQZS2H | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
L6QORGGL6YFDXQP32NZJKUD2YECYCRYC | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
2MRGLLTCCY73ELLMEDNTELBINVOZYRGY | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
Q6WVMGCOUEZT6JIDPYH4M3ACAB2QTEL6 | Alexandria / Ägypten, 2. Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
5GHV77JWX6S5JRTYVUQICFGRZ7QMATBV | Krokodildarstellungen in Ägypten und Rom (Kat. 350-357) | Deutsche Nationalbibliothek |  | Ägypten; Heidelberg; Frankfurt am Main
W3OGCRT7XPN2GRNT4BZAZBLO6I5OEK5U | Krokodil von Kronprinz Gustav V. von Schweden in Wadi Halfa in Ägypten | Landesarchiv Baden-Württemberg | Bilder | 
2AWLM2MHBCEAEQ5CA5ZTPTZZRHJ4NHKO | Claudius (41-54 n. Chr.): Alexandria / Ägypten, 49/50 n. Chr. – Hemiobol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
7ZUYDFMV76D6CBJ7ULUIIOKL4SFXT2BF | Claudius (41-54 n. Chr.): Alexandria / Ägypten, 49/50 n. Chr. – Dichalkon | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
CFQTHRHG5ILVOC752BKDXL4CGBRGYJGA | Domitian (81-96 n. Chr.): Alexandria / Ägypten, 86/87 n. Chr. – Hemiobol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
EOQAIE5WTXICYTIYSP5NRJ5DSBT75AMP | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 106/107 n. Chr. – Hemiobol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
47DA3DWZ4MZZMBZQIVW4LAMXF2RHAQLJ | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 126/127 n. Chr. – Hemiobol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
6SYGFYFRKTGFNKWQDC4WUOAZ723FA4HP | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 126/127 n. Chr. – Hemiobol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
