RWC5R2HJ7NKKSIRRIQGB3BDWHLIJTQQY | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierfigur aus Ton | Brasilien; Mato Grosso; Berlin
ALKYUNWVD6SIL33USAPL3AGJBAYM4UQB | Gefangenes Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Fotografie | Berlin
LI7FTHR4NQFB2QYZTL25L7UWIFPIFOZ3 | Figur Krokodil | Übersee-Museum Bremen | Figur | Bremen
QC4LJZWSXJVADXJ3J2FDV4QUNJZDSYMU | Krokodile und Flusspferdkadaver | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Fotografie | Ostafrika; Berlin
PMZOHRXX7AUX5IEVMPSOD34QBRCPIVXV | Krokodil mit Beute | Museen Freiburg | Figur | Afrika; Benin; Freiburg
PWHXKIK2CVKCKPOPAWNVCR2FSHKGBTSP | Mit eingeritztem Cipactli (Krokodil) | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tongefäß | Cholula; Mexiko; Berlin
3KQILWVWIP5EXQPYM7TW2U6ONU5DGQ4I | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Reliefplatte (Relief plaque) | Benin; Nigeria; Berlin
HOTPUDDMN7NM43BK3VAEYNZQQZF4L5VP | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Steinfigur | Mexiko; Berlin
ID26VEIZUUBIAADPSNOWRDRXAOPAIUXU | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Reliefplatte (Relief plaque) | Benin; Nigeria; Berlin
JVX32ZTMGUJORQQRXQGRTFIUK5YHFV4I | Krokodil | Museen Freiburg | Schnitzerei | Afrika; Kamerun; Liberia; Freiburg
PLUWCO3FKVYR3ITPFHFPNNC3WY5A7BBL | "Krokodil" | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Skulptur | Melanesien; Mittlerer Sepik; Nordost-Neuguinea; Berlin
W5QR5NGDXAEVZRQDF4BY4YUXSQ6ZWJID | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Goldanhänger | Costa Rica; El General; Pérez Zeledón; San José; Berlin
ZNIQFUA6OY3HKUTQAMG2IX2J3K3LQLSG | Anhänger mit Krokodilen und Stierkopf | Museum für Völkerkunde Dresden; Staatliche Kunstsammlungen Dresden | Plastik | Benin; Federal Republic of Nigeria; Dresden
JJLA6LYGEMUQHG55XPCVY5CBMNKJ3JXO | "Krokodil" | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Kraftfigur | Angola; Cabinda; Massabe; Berlin
Q2AXN2IW4E5N3ZW2P7Q6R3WUACVO4CI3 | Figur Krokodil | Übersee-Museum Bremen | Figur | Bremen
4X5D3VHUFETEWNLNSEXBYUHUMBWRFH5Q | Tierfigur (Krokodil) | Rautenstrauch-Joest-Museum - Kulturen der Welt | Figur | 
MG3H2E3ZVGWRYANGXPJVCIEDTGZMQW37 | Krokodil und Fisch | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Reliefplatte (Relief plaque) | Benin; Nigeria; Berlin
4R5F2YR4QVSOAE6H2MTYMJWVUBVMUOUB | Krokodil | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
RMSJOIYSPTR26EF6C7AYIZVJZRQ7FSYE | Krokodil | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
FR2JFEDQMHLUYVFKJNAIOM3ENIKZEH5R | [Krokodil] | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
6ZNV6CH56BLZ4GO7QY5SWUBAQJ3PAYNS | Erlegtes Krokodil : Elegtes Krokodil am Limpopo. | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Botswana
GO64MHHRB2KENDREVPV3C7XQBMG2X6L7 | Erlegtes Krokodil am Mavudji : Krokodil in Landschaft | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Tansania
V6N4VCFMHOF6MOB7BQF4YIPHN6FZ2JVW | Animalia: Krokodile | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
KI7Q6BXESNXZ54ORO32ODEA6TX64EA5A | Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Figur | Frankfurt (Main), Untermainanlage
E7DIHLTSS3ILRKOLH3EJYRESWXYOMIZD | Gefangenes Krokodil | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
PXZXZVUL7FOERQP6OIUP42TLXG2BIT2K | Krokodil : Krokodil (Crocodylus niloticus chamses) auf einer Sandbank | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Ostafrika (Afrika)
NLPQFNT2AGHI3F2FIS4EHW2JUFRRKV3Y | Ein Krokodil. | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
