37KGWK2Z6V2M7KA3E3AEZPEDYSU4WB5M | Weibliche Mumienmaske | Museum für Kunst und Gewerbe Hamburg | Mumie | Ägypten
3N6D2RQBQHIKX6GSQNLYCPXM4BZJQXEI | Mumie eines Mannes mit Porträt und Leichentuch | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Mumie | Dresden
AT2YFM66MIYKHPOZELSDYE7MCZCD7BR2 | Männliche Mumienmaske | Museum für Kunst und Gewerbe Hamburg | Mumie | Ägypten
BF6HLMPR5YCRDUBI7GXD7ZGHHSALNDH4 | Mumie einer Frau mit Porträt und Leichentuch | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Mumie | Arab Republic of Egypt; Dresden
COB2KDAXTU4JNOPGI4E2A226XPP2NW6D | Zwei Krokodilsmumien | Museum August Kestner | Mumie | Fayoum; Ägypten; Hannover
E7KZ452W7IPGODFYUWTWCL23C6THQUHS | Mumie einer Frau | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Mumie | Dresden
EIANSOWQOSJV7SO6CEEYNJ6ZTJB76P36 | Männliche Mumienmaske | Museum für Kunst und Gewerbe Hamburg | Mumie | 
FQQMFO5XX7W5SWXO2WD5NY73I3BLE6UR | Albumseite mit beidseitig aufgeklebten Fotografien : Kopf Ramses II | Kunsthistorisches Institut in Florenz – Max-Planck-Institut | Mumie | Florenz; Gizeh
HQRA6LVPE7L2QY5SKU6VBKVHVQGH77SG | Mumie des Kupfermanns von Chuquimata | Montanhistorisches Dokumentationszentrum; Deutsches Bergbau-Museum Bochum | Mumie | Chile; Chuquicamata; Bochum
PAKHUFNRIOZHSSTBLWAQV37HLJHU5HXL | Krokodilmumie | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Mumie | Arab Republic of Egypt; Dresden
YIBE42J7BA6RCVIZKAUDB5EEZONOSFVI | Mumie eines Kindes | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Mumie | Berlin
7LDOFQHQLSETHY3FUQXWYCIK7D73YSHY | INNERER SARG und MUMIENBRETT | digiCULT-Verbund eG; Frisörmuseum | Postkarte (Holzsarg-Malerei für Mumien, 11. - 10. Jh. v. Chr.) | Wien; Eckernförde
