obj-762500 | Bauchauflage einer Mumie | Mumienhülle (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit
obj-604414 | Mumienhülle und Mumie der Nes-Chons-pa-cheret | Grabausstattung | Ägyptisches Museum und Papyrussammlung | 23. Dynastie (Bubastis, Tanis) / Datierung engl.: 23rd Dynasty (Bubastis, Tanis)
obj-756468 | Statuette eines Krokodils, eine Mumie auf dem Rücken tragend | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Spätzeit
obj-607541 | Mumie eines Mädchens mit Mumienporträt ("Tochter der Aline") | Mensch (Mumie) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: 1.–2. Jh. n. Chr.
obj-827742 | Mumie eines Mädchens ("Tochter der Aline") mit Mumienmaske | Mensch (Mumie) | Ägyptisches Museum und Papyrussammlung | 1.–2. Jh. n. Chr.
obj-767658 | Mumie, Mensch, weiblich, der (Hathor-)Ibet, mit Mumienmaske und -auflagen | Mensch (Mumie) | Ägyptisches Museum und Papyrussammlung | Spätzeit–frühe Ptolemäerzeit / Genauer: 4./3. Jahrhundert vor Christus
obj-607540 | Mumie eines männlichen Kindes mit Mumienporträt ("Sohn der Aline") | Mensch (Mumie) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: 1.–2. Jh. n. Chr.
obj-762300 | Mumienetikett für Tekysis, Tochter des Pachom, mit Darstellungen des Osiris sowie der Verstorbenen als Mumie auf einer Kline | Mumienetikett (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 2. Jh. n. Chr.
obj-778887 | Brust-Bein-Auflage der Mumie der Ta-scherit-(en)-Amun, Tochter des Ij-em-hetep und der Ta-dit-ta-Repit | Mumienhülle (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit
obj-607531 | Katzenmumie | Tier (Mumie) | Ägyptisches Museum und Papyrussammlung | Spätzeit
obj-607538 | Mumienporträt der Aline | Mumienportrait (Grabausstattung / Mumienhülle) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: 1.–2. Jh. n. Chr.
obj-762181 | Mumienhülle des Ken-hor; Priester des Min | Mumienhülle (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 23. Dynastie (Bubastis, Tanis)
obj-762210 | Mumienmaske („Büste“) einer Frau ("Stuckkopf") | Mumienmaske (Grabausstattung / Mumienhülle) | Ägyptisches Museum und Papyrussammlung | 2. Jh. n. Chr.
