obj-1005708 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-992159 | Krokodil | Tierfigur aus Ton | Ethnologisches Museum | –
obj-809734 | Krokodil | Maske | Museum Europäischer Kulturen | vor 1940
obj-1013158 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-1013279 | Krokodile | Skulptur (Torbalken ?) | Ethnologisches Museum | –
obj-1081263 | Krokodil | Fragment einer Tierskulptur | Ethnologisches Museum | –
obj-95904 | Krokodil | Goldanhänger | Ethnologisches Museum | 400 - 900
obj-205721 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-205722 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-212031 | Krokodil | Reliefplatte (Relief plaque) | Ethnologisches Museum | 16. Jh.
obj-211151 | Krokodil | Reliefplatte (Relief plaque) | Ethnologisches Museum | 16. Jh.
obj-109866 | Krokodil | Steinfigur | Ethnologisches Museum | –
obj-744151 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-744153 | Krokodil | Tierskulptur | Ethnologisches Museum | –
obj-1377047 | Gefangenes Krokodil | Positiv, SW | Ethnologisches Museum | 1907
obj-212028 | Krokodil und Fisch | Reliefplatte (Relief plaque) | Ethnologisches Museum | 16. Jh.
obj-819794 | "Krokodil" | Kraftfigur | Ethnologisches Museum | –
obj-824836 | Krokodile und Flusspferdkadaver | Dia, SW | Ethnologisches Museum | –
obj-1626618 | "Krokodil" | Skulptur | Ethnologisches Museum | –
obj-72622 | Mit eingeritztem Cipactli (Krokodil) | Tongefäß | Ethnologisches Museum | –
obj-766428 | Statuette eines Krokodils mit Falkenkopf | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Spätzeit
obj-1869490 | Mit Angeln im Mlagarassi erlegte Krokodile. | Positiv, SW | Ethnologisches Museum | Fotografische Aufnahme: 14. März 1911
obj-1414114 | Stilisierte (unfertiges?) Krokodil. Rückseite. Sammlung Guillermo de Heredia. | Positiv, SW | Ethnologisches Museum | 1901 - 1910
obj-1863701 | Krokodil und Details "n. Gyps-Abformung" | Zeichnung / Seite | Kupferstichkabinett | Herstellung: 1881 - 1882
obj-756468 | Statuette eines Krokodils, eine Mumie auf dem Rücken tragend | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Spätzeit
obj-1706367 | Alexander-Roman. Wie Alexander gegen ein Tier kämpft, das einem Hippopotamus gleicht, außer dass es eine Brust wie ein Krokodil und lange spitze Zähne hat | Miniatur / Seite | Kupferstichkabinett | Herstellung: 1300 - 1325
obj-1391434 | None | Kindertrageband | Ethnologisches Museum | –
obj-1587043 | None | Amulett für gigantische Kraft | Ethnologisches Museum | –
obj-203690 | None | Trommel | Ethnologisches Museum | –
obj-219416 | None | Dolch | Ethnologisches Museum | –
obj-825958 | None | Schwert | Ethnologisches Museum | –
obj-223051 | None | Tabakpfeifenkopf | Ethnologisches Museum | –
obj-212753 | Schlangenkopf (Head of a snake) | Reliefplatte (Fragment) (Relief plaque) | Ethnologisches Museum | –
obj-212549 | None | Horn | Ethnologisches Museum | 18. Jh.-19. Jh.
obj-1518974 | Meine Schulfreunde | Freundschaftsbuch, Poesie-Album | Museum Europäischer Kulturen | 1996
obj-215597 | None | Tierskulptur in Form eines Kokodils | Ethnologisches Museum | 19. Jh. / Datierung engl.: Late 19th or early 20th century
obj-206062 | None | Türpfosten | Ethnologisches Museum | 19. Jh.-20. Jh.(Anfang) / Datierung engl.: 19th or early 20th century
obj-212273 | Krokodilskopf | Gürtelmaske | Ethnologisches Museum | 18. Jahrhundert / Datierung engl.: 17th or 18th century
