alias,country,canonical,canonical_city,canonical_country,reason
"Kunsthistorisches Museum Vienna, Egyptian and Near Eastern Collection",AT,Kunsthistorisches Museum Vienna,Vienna,,department of same institution
Egyptian Museum,EG,"Egyptian Museum, Cairo",Cairo,,same institution (Tahrir)
"Muséum national d'Histoire naturelle (MNHN), Reptiles & Amphibians collection",FR,Muséum national d'Histoire naturelle (MNHN),Paris,,collection of same institution
Auckland War Memorial Museum Tāmaki Paenga Hira,NZ,Auckland War Memorial Museum,Auckland,,same institution
"Phoebe A. Hearst Museum of Anthropology, University of California, Berkeley",US,Phoebe A. Hearst Museum of Anthropology,Berkeley,,same institution
"Petrie Museum of Egyptian Archaeology, University College London",GB,"Petrie Museum of Egyptian Archaeology, UCL",London,,same institution
Smithsonian National Museum of Natural History,US,"National Museum of Natural History, Smithsonian Institution","Washington, DC",,same institution
"Dresden State Art Collections – Sculpture Collection",DE,"Staatliche Kunstsammlungen Dresden, Skulpturensammlung",Dresden,,English/German name of same institution
State Museum of Egyptian Art Munich,DE,Staatliches Museum Ägyptischer Kunst,München,,English/German name of same institution
"Manchester Museum, University of Manchester",GB,Manchester Museum,Manchester,,same institution
"National Museum of Denmark (Nationalmuseet), Collection of Classical and Near Eastern Antiquities",DK,National Museum of Denmark (Nationalmuseet),Copenhagen,,department of same institution
"Akoris archaeological site, Chapel E storeroom (Akoris Archaeological Project, Nagoya University / Paleological Association of Japan; Ministry of Tourism and Antiquities)",EG,"Akoris (Tehna el-Gebel) archaeological site – Chapel E storeroom, Western Temple (MoTA; Paleological Association of Japan mission)","Tehna el-Gebel, Minya Governorate",,same storeroom
National Archaeological Museum of Spain,ES,National Archaeological Museum (Museo Arqueológico Nacional),Madrid,,same institution
musée des beaux-arts et d'archéologie,FR,Musée des Beaux-Arts et d'Archéologie de Besançon,Besançon,,same institution (city Besançon in record)
musée municipal,FR,Musée municipal de Sens,Sens,,same institution (city Sens in record)
Malmö Museer,SE,Malmö Museum (Malmö Museer),Malmö,,same institution
Royal Museums of Art and History,BE,Art & History Museum (Royal Museums of Art and History),Brussels,,same institution
"Dresden State Art Collections, Skulpturensammlung",DE,"Staatliche Kunstsammlungen Dresden, Skulpturensammlung",Dresden,,same institution
Museo Arqueológico Nacional,ES,National Archaeological Museum (Museo Arqueológico Nacional),Madrid,,same institution
"National Kyiv-Pechersk Historical and Cultural Preserve (Kyiv-Pechersk Lavra National Preserve)",UA,Kyiv-Pechersk Lavra National Preserve,Kyiv,,same institution
Odesa Archaeological Museum of the National Academy of Sciences of Ukraine,UA,Odessa Archaeological Museum of the NAS of Ukraine,Odesa,,same institution
