museum,city,country,lead_source,lead_detail,source_reliability,resolution,x_agents
Louvre Abu Dhabi,Abu Dhabi,AE,WebSearch 'Louvre Abu Dhabi crocodile mummy' 0 hits,collection/loan lists not checked; any crocodile would likely be a loan from French museums,SECONDARY,OPEN,rest_of_world
Sharjah Archaeology Museum,Sharjah,AE,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Kunsthistorisches Museum,Wien,AT,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'","Crocodile parallels cited: KHM 264-65, 275-89, 292",SCHOLARLY,OPEN,southern_europe
Kunsthistorisches Museum Vienna (further holdings),Vienna,AT,https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324030,INV 266a/266b exist on KHM site but not in Europeana; run KHM site search 'Krokodil' / 'Tiermumie' for more,OFFICIAL,IN_MASTER INST-AT-001,portals_europe
Natural History Museum of the Salzkammergut,UNKNOWN,AT,"Hekkala et al. 2022, Bull. Peabody Mus. Nat. Hist. 63(1), Table 1 (NMSG-A; data from Hekkala et al. 2020); Hekkala et al. 2020 JASR 33: 102483","Adult crocodile mummy from Kom Ombo, 14C 1400 BP, aDNA C. suchus | 2.5 m adult crocodile mummy on display, likely Kom Ombo, gift of Egyptian govt to Prof. Otto Stober 1960-61, ex Moor Museum Bad Neydharting",SCHOLARLY,IN_MASTER INST-AT-002,france;literature
"Naturhistorisches Museum Wien; Weltmuseum Wien; Joanneum Graz; Austrian monastery collections (Kremsmünster, Admont, Melk, etc.); Univ. Wien",UNKNOWN,AT,assignment candidate list,Not checked; Europeana COUNTRY:austria found only KHM,SECONDARY,OPEN,benelux_alpine
Australian Museum,Sydney,AU,Assignment list,Not searched (archaeology & herpetology),SECONDARY,OPEN,canada_oceania
"Gale History Museum (formerly Museum of Ancient Cultures), Macquarie University",Sydney,AU,Assignment list; academia.edu 'Death is only the beginning: Egyptian funerary customs at the Macquarie Museum of Ancient Cultures',Reportedly holds animal mummies; no crocodile confirmed; publication not read,SECONDARY,OPEN,canada_oceania
Museums Victoria,Melbourne,AU,https://collections.museumsvictoria.com.au/api/search?query=crocodile%20mummy,API and website search blocked by Cloudflare (403) — holdings unknown,OFFICIAL,CHECKED_NO_CONFIRMATION,portals_world
Powerhouse (MAAS),Sydney,AU,Assignment list,collection.powerhouse.com.au/search 404; API not tried,SECONDARY,OPEN,canada_oceania
Powerhouse Museum (MAAS),Sydney,AU,api.maas.museum/graphql,API host unreachable via proxy (502); website search 404 — not checked,OFFICIAL,OPEN,portals_world
Queensland Museum; R.D. Milns Antiquities Museum (UQ); Abbey Museum,Brisbane/Caboolture,AU,Assignment list,Not searched,SECONDARY,OPEN,canada_oceania
South Australian Museum,Adelaide,AU,Assignment list; eHive library item 'The Nubian Mummy at the South Australian Museum',Egyptian Room; not searched,SECONDARY,OPEN,canada_oceania
Western Australian Museum; TMAG Hobart; QVMAG Launceston; NGV; Ian Potter Museum; Art Gallery of South Australia; ANU Classics Museum; Bendigo; Ballarat,various,AU,Assignment list,Not searched; Trove API needs key (401) and was not used,SECONDARY,OPEN,canada_oceania
Art & History Museum (Royal Museums of Art and History),Brussels,BE,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'","Crocodile parallel cited: MRAH E 1229 (Francot et al. eds., Les momies egyptiennes, 1999, pp. 28-29, 56, fig. 41)",SCHOLARLY,IN_MASTER INST-BE-001,southern_europe
Grand Curtius,Liège,BE,WebSearch: https://www.grandcurtius.be/fr/actualites/objet-du-mois/de-loeuf-la-momie-ou-de-lanimal-au-dieu-quand-le-crocodile-devient-culte; WebSearch snippet for grandcurtius.be 'objet du mois' page,"'Objet du mois' page on crocodile egg to mummy - likely crocodile mummy/egg in collection (not opened) | Small crocodile mummy 60 cm, inv. I/681",OFFICIAL,OPEN,france
Musée royal de Mariemont; Grand Curtius Liège; Musée L Louvain-la-Neuve; Ghent University Museum; MAS Antwerp; other BE candidates,UNKNOWN,BE,assignment candidate list; RMO AMM 16i was lent to Mariemont 'Du Nil a Alexandrie' (2013) cat. 45,Not checked; Europeana COUNTRY:belgium found only KMKG,SECONDARY,OPEN,benelux_alpine
Royal Belgian Institute of Natural Sciences (RBINS),Brussels,BE,assignment candidate list (De Cupere / Van Neer animal-mummy research),Not checked,SECONDARY,OPEN,benelux_alpine
Fundação Museu Mariano Procópio,Juiz de Fora,BR,antigoegito.org/no-brasil-museus/,Egyptian holdings; not checked,SECONDARY,OPEN,rest_of_world
Museu de Arqueologia e Etnologia da USP (MAE-USP),São Paulo,BR,antigoegito.org/no-brasil-museus/ (secondary list),Egyptian collection; not checked for animal/crocodile mummies,SECONDARY,OPEN,rest_of_world
Museu Egípcio e Rosacruz,Curitiba,BR,https://museuegipcioerosacruz.org.br/ (Sobek article 2016 only),Collection pages not checked for crocodile mummy,OFFICIAL,OPEN,rest_of_world
"Art Gallery of Ontario, Edward P. Taylor Library and Archives (Bagnani fonds)",Toronto,CA,https://guides.lib.berkeley.edu/objectlessons/dying,Gilbert Bagnani photographs of crocodile mummies in their cemetery at Tebtunis c. 1934 (archive photos); Bagnani excavated Tebtunis 1930s - Canadian collections (e.g. Trent University / ROM) may hold Tebtunis crocodile material,OFFICIAL,OPEN,usa_midwest_west
Canadian Museum of History,Gatineau,CA,Assignment list,historymuseum.ca collection search URL 404; not searched,SECONDARY,OPEN,canada_oceania
McCord Stewart Museum,Montréal,CA,Assignment list; Lawson 2016 (1995 McCord exhibition of Redpath mummy),collections.musee-mccord-stewart.ca search 302; not searched,SECONDARY,OPEN,canada_oceania
Montreal Museum of Fine Arts,Montréal,CA,Assignment list,Not searched (mbam.qc.ca search 404),SECONDARY,OPEN,canada_oceania
Musées de la civilisation,Québec,CA,Artefacts Canada any-word hits (faience crocodile amulet MUCQ1991.1723),"collections.mcq.org is JS-only; Artefacts Canada all-words 'crocodile mummy' returned only Redpath, so probably none; French terms (momie crocodile) not run",SECONDARY,OPEN,canada_oceania
Niagara Falls Museum (dispersed 1999),Niagara Falls,CA,Assignment list,"Historic collection dispersed; current holders (e.g. Michael C. Carlos Museum, Atlanta) out of scope - not checked",SECONDARY,OPEN,canada_oceania
Queen's University Agnes Etherington / Miller Museum; Western University Museum of Ontario Archaeology; University of Toronto; Nickle Galleries; Chatham-Kent Museum,various,CA,Assignment list,Not searched,SECONDARY,OPEN,canada_oceania
Royal BC Museum; Royal Alberta Museum; Glenbow; Manitoba Museum; Royal Saskatchewan Museum; Nova Scotia Museum; New Brunswick Museum; The Rooms; Museum of Anthropology UBC; Museum of Vancouver,various,CA,Assignment list,"Not individually searched; Artefacts Canada all-words 'crocodile mummy' (13 hits, all Redpath) suggests none among Artefacts Canada contributors, but many do not contribute",SECONDARY,OPEN,canada_oceania
Antikenmuseum Basel und Sammlung Ludwig,Basel,CH,assignment candidate list,Not checked (no online DB found; web search budget exhausted),SECONDARY,OPEN,benelux_alpine
Bernisches Historisches Museum,Bern,CH,assignment candidate list,Not checked (guessed collection URL 404),SECONDARY,OPEN,benelux_alpine
"MEG, Muséum Genève, NMB/NMBE, Uni Zürich Archäologische Sammlung & Zoologisches Museum, BIBEL+ORIENT Fribourg, Fondation Gandur, St. Gallen, Schaffhausen, other CH candidates",UNKNOWN,CH,assignment candidate list,Not checked; Europeana COUNTRY:switzerland had 0 crocodile-mummy hits,SECONDARY,OPEN,benelux_alpine
Musée cantonal d'archéologie et d'histoire Lausanne,Lausanne,CH,assignment candidate list,mcah.ch SSL error; not checked,SECONDARY,OPEN,benelux_alpine
Musée d'art et d'histoire de Genève,Genève,CH,WebSearch results: https://collections.geneve.ch/mah/oeuvre/momie-de-crocodile/d-0337; https://www.mahmah.ch/collection/oeuvres/momie-de-crocodile/d-0241; https://www.mahmah.ch/collection/oeuvres/momie-de-crocodile/d-0241 (blocked by bot mitigation); WebSearch snippet,"Two object pages titled 'Momie de crocodile' (D 0337, D 0241) - not opened | 'Momie de crocodile' D 0241; snippet says Frédéric Colladon donated several crocodile mummies to MAH in 1836 and specimen reportedly from Samoun caves (Maabda)",OFFICIAL,CHECKED_NO_CONFIRMATION,france;toponyms
Musée d'ethnographie de Neuchâtel (MEN),Neuchâtel,CH,assignment candidate list,Egyptian collection; not checked,SECONDARY,OPEN,benelux_alpine
Museum der Kulturen Basel,Basel,CH,https://onlinecollection.mkb.ch/,Collection DB located (CollectionConnection JS app) but not searched for krokodil/Mumie,OFFICIAL,OPEN,benelux_alpine
Museo de Hualpén (Parque Pedro del Río Zañartu),Hualpén,CL,https://egiptologia.cl/colecciones-egipcias-en-chile/,Holds Egyptian antiquities; no crocodile mention; objects not checked,SECONDARY,OPEN,rest_of_world
Museo Nacional de Colombia,Bogotá,CO,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Museo Nacional de Bellas Artes (Cuba),La Habana,CU,Lipińska 1982 CAA; Álvarez Sosa et al. 2015 catalogue; https://www.bellasartes.co.cu/exposicion/egipto (DNS/502 failure),Egyptian collection 112 pieces; animal mummies not verified; check catalogue for crocodile,SCHOLARLY,OPEN,rest_of_world
"Hrdlička Museum of Man, Charles University; Olomouc Vlastivědné muzeum; Slezské zemské muzeum; Moravské zemské muzeum",various,CZ,Strouhal & Vyhnánek 1979 Table 1 (no crocodiles listed for these in 1979),Possible post-1979 acquisitions; low priority,SCHOLARLY,OPEN,central_east_europe
Ägyptologische Studiensammlung Mainz; Ägyptiaca-Sammlung Köln; LMU München Institut; FU Berlin Institut,various,DE,assignment candidate list (orchestrator memory list) + own partial checks,University study collections; no online object DBs checked,SECONDARY,OPEN,germany
Badisches Landesmuseum Karlsruhe,Karlsruhe,DE,assignment candidate list (orchestrator memory list) + own partial checks,DDB/Europeana: only falcon and shrew-coffin (H 1019) animal mummies; own katalog.landesmuseum.de not searched,SECONDARY,OPEN,germany
Hessisches Landesmuseum Darmstadt / Kassel (Ottoneum),Darmstadt/Kassel,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Landesmuseum Hannover,Hannover,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched; check online collection,SECONDARY,OPEN,germany
