object_id,url,http_status,inventory_found,note
INST-AT-001-O001,https://www.khm.at/kunstwerke/krokodil-324028,200,YES,
INST-AT-001-O001,https://www.europeana.eu/item/15502/AE_INV_264,403,,
INST-AT-001-O002,https://www.khm.at/kunstwerke/krokodil-324029,200,YES,
INST-AT-001-O002,https://www.europeana.eu/item/15502/AE_INV_265,403,,
INST-AT-001-O003,https://www.khm.at/kunstwerke/grosses-krokodil-316270,200,YES,
INST-AT-001-O003,https://www.europeana.eu/item/15502/AE_INV_266,403,,
INST-AT-001-O004,https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324030,200,YES,
INST-AT-001-O004,https://www.europeana.eu/item/15502/AE_INV_266a,403,,
INST-AT-001-O005,https://www.khm.at/kunstwerke/kleine-krokodilsmumie-324031,200,YES,
INST-AT-001-O005,https://www.europeana.eu/item/15502/AE_INV_266b,403,,
INST-AT-001-O006,https://www.khm.at/kunstwerke/krokodilseier-319134,200,YES,
INST-AT-001-O006,https://www.europeana.eu/item/15502/AE_INV_266c,403,,
INST-AT-001-O007,https://www.khm.at/kunstwerke/mumifizierter-koerper-eines-kleinen-krokodils-324057,200,YES,
INST-AT-001-O007,https://www.europeana.eu/item/15502/AE_INV_290,403,,
INST-AT-001-O008,https://www.khm.at/kunstwerke/mumie-eines-kleinen-krokodils-324059,200,YES,
INST-AT-001-O008,https://www.europeana.eu/item/15502/AE_INV_292,403,,
INST-AU-001-O001,https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.41239,200,NO,
INST-AU-001-O002,https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.62330,200,NO,
INST-AU-001-O003,https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.62331,200,NO,
INST-AU-001-O004,https://www.sydney.edu.au/museums/collections_search/?record=ecatalogue.35470,200,NO,
INST-BE-001-O001,https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=75238,200,YES,
INST-BE-001-O001,https://www.europeana.eu/item/322/Museu_ProvidedCHO_Mus_es_Royaux_d_Art_et_d_Histoire_75238,403,,
INST-BE-001-O002,https://www.carmentis.be/eMP/eMuseumPlus?service=ExternalInterface&module=collection&lang=fr&objectId=76199,200,YES,
